  #Magnitude          Freq      Cum_Freq
         206             0       4180469
         207             0       4180469
         208             0       4180469
         209             0       4180469
         210             0       4180469
         211             0       4180469
         212             0       4180469
         213             0       4180469
         214             0       4180469
         215             0       4180469
         216             0       4180469
         217             0       4180469
         218             0       4180469
         219             0       4180469
         220             0       4180469
         221             0       4180469
         222             0       4180469
         223             0       4180469
         224             0       4180469
         225             0       4180469
         226             0       4180469
         227             0       4180469
         228             0       4180469
         229             0       4180469
         230             0       4180469
         231             0       4180469
         232             0       4180469
         233             0       4180469
         234             0       4180469
         235             0       4180469
         236             0       4180469
         237             0       4180469
         238             0       4180469
         239             0       4180469
         240             0       4180469
         241             0       4180469
         242             0       4180469
         243             0       4180469
         244             0       4180469
         245             0       4180469
         246             0       4180469
         247             0       4180469
         248             0       4180469
         249             0       4180469
         250             0       4180469
         251             0       4180469
         252             0       4180469
         253             0       4180469
         254             0       4180469
         255             0       4180469
         256             0       4180469
         257             0       4180469
         258             0       4180469
         259             0       4180469
         260             0       4180469
         261             0       4180469
         262             0       4180469
         263             0       4180469
         264             0       4180469
         265             0       4180469
         266             0       4180469
         267             0       4180469
         268             0       4180469
         269             0       4180469
         270             0       4180469
         271             0       4180469
         272             0       4180469
         273             0       4180469
         274             0       4180469
         275             0       4180469
         276             0       4180469
         277             0       4180469
         278             0       4180469
         279             0       4180469
         280             0       4180469
         281             0       4180469
         282             0       4180469
         283             0       4180469
         284             0       4180469
         285             0       4180469
         286             0       4180469
         287             0       4180469
         288             0       4180469
         289             0       4180469
         290             0       4180469
         291             0       4180469
         292             0       4180469
         293             0       4180469
         294             0       4180469
         295             0       4180469
         296             0       4180469
         297             0       4180469
         298             0       4180469
         299             0       4180469
         300             0       4180469
         301             0       4180469
         302             0       4180469
         303             0       4180469
         304             0       4180469
         305             0       4180469
         306             0       4180469
         307             0       4180469
         308             0       4180469
         309             0       4180469
         310             0       4180469
         311             0       4180469
         312             0       4180469
         313             0       4180469
         314             0       4180469
         315             0       4180469
         316             0       4180469
         317             0       4180469
         318             0       4180469
         319             0       4180469
         320             0       4180469
         321             0       4180469
         322             0       4180469
         323             0       4180469
         324             0       4180469
         325             0       4180469
         326             0       4180469
         327             0       4180469
         328             0       4180469
         329             0       4180469
         330             0       4180469
         331             0       4180469
         332             0       4180469
         333             0       4180469
         334             0       4180469
         335             0       4180469
         336             0       4180469
         337             0       4180469
         338             0       4180469
         339             0       4180469
         340             0       4180469
         341             0       4180469
         342             0       4180469
         343             0       4180469
         344             0       4180469
         345             0       4180469
         346             0       4180469
         347             0       4180469
         348             0       4180469
         349             0       4180469
         350             0       4180469
         351             0       4180469
         352             0       4180469
         353             0       4180469
         354             0       4180469
         355             0       4180469
         356             0       4180469
         357             0       4180469
         358             0       4180469
         359             0       4180469
         360             0       4180469
         361             0       4180469
         362             0       4180469
         363             0       4180469
         364             0       4180469
         365             0       4180469
         366             0       4180469
         367             0       4180469
         368             0       4180469
         369             0       4180469
         370             0       4180469
         371             0       4180469
         372             0       4180469
         373             0       4180469
         374             0       4180469
         375             0       4180469
         376             0       4180469
         377             0       4180469
         378             0       4180469
         379             0       4180469
         380             0       4180469
         381             0       4180469
         382             0       4180469
         383             0       4180469
         384             0       4180469
         385             0       4180469
         386             0       4180469
         387             0       4180469
         388             0       4180469
         389             0       4180469
         390             0       4180469
         391             0       4180469
         392             0       4180469
         393             0       4180469
         394             0       4180469
         395             0       4180469
         396             0       4180469
         397             0       4180469
         398             0       4180469
         399             0       4180469
         400             0       4180469
         401             0       4180469
         402             0       4180469
         403             0       4180469
         404             0       4180469
         405             0       4180469
         406             0       4180469
         407             0       4180469
         408             0       4180469
         409             0       4180469
         410             0       4180469
         411             0       4180469
         412             0       4180469
         413             0       4180469
         414             0       4180469
         415             0       4180469
         416             0       4180469
         417             0       4180469
         418             0       4180469
         419             0       4180469
         420             0       4180469
         421             0       4180469
         422             0       4180469
         423             0       4180469
         424             0       4180469
         425             0       4180469
         426             0       4180469
         427             0       4180469
         428             0       4180469
         429             0       4180469
         430             0       4180469
         431             0       4180469
         432             0       4180469
         433             0       4180469
         434             0       4180469
         435             0       4180469
         436             0       4180469
         437             0       4180469
         438             0       4180469
         439             0       4180469
         440             0       4180469
         441             0       4180469
         442             0       4180469
         443             0       4180469
         444             0       4180469
         445             0       4180469
         446             0       4180469
         447             0       4180469
         448             0       4180469
         449             0       4180469
         450             0       4180469
         451             0       4180469
         452             0       4180469
         453             0       4180469
         454             0       4180469
         455             0       4180469
         456             0       4180469
         457             0       4180469
         458             0       4180469
         459             0       4180469
         460             0       4180469
         461             0       4180469
         462             0       4180469
         463             0       4180469
         464             0       4180469
         465             0       4180469
         466             0       4180469
         467             0       4180469
         468             0       4180469
         469             0       4180469
